,product_name,product_price,product_ratings,product_ratings_num,product_link
10,"LG 1.5 Ton 2 Star DUAL Inverter Split AC (Copper, Convertible 4-in-1 Cooling, HD Filter with Anti-virus Protection, 2023 Model, RS-Q18ZNVE, White)","32,990",4.0 out of 5 stars,611,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQ1NzUwNjU0MjUzOTQ5OjE2ODI1MTM2NDM6c3BfbXRmOjIwMTEwMzgwNjI4ODk4OjowOjo&url=%2FLG-Convertible-Anti-virus-Protection-RS-Q18ZNVE%2Fdp%2FB0BPYKMM2M%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513643%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
11,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Model AR18CYLZABE White)","34,999",3.7 out of 5 stars,361,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQ1NzUwNjU0MjUzOTQ5OjE2ODI1MTM2NDM6c3BfbXRmOjIwMTE2NTIyNjI3ODk4OjowOjo&url=%2FSamsung-Inverter-Convertible-Anti-Bacteria-AR18CYLZABE%2Fdp%2FB0BRQCYQHK%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513643%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,"Whirlpool 1.0 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I1ADO, White)","34,490",4.0 out of 5 stars,"1,202",https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-S3I1ADO/dp/B0BR5SZ922/ref=sr_1_13?keywords=Air+Conditioners&qid=1682513643&sr=8-13
13,"Lloyd 1.0 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS12I3FWAEV)","29,999",4.2 out of 5 stars,"1,246",https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS12I3FWAEV/dp/B0BRKX6FD5/ref=sr_1_14?keywords=Air+Conditioners&qid=1682513643&sr=8-14
14,"Lloyd 1.5 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS18I5FWBEV)","39,990",4.3 out of 5 stars,"1,736",https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I5FWBEV/dp/B0BRKXBRMF/ref=sr_1_15?keywords=Air+Conditioners&qid=1682513643&sr=8-15
15,"Whirlpool 1.5 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1PPO, White)","31,990",3.9 out of 5 stars,"3,762",https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-S3K1PPO/dp/B0BR5RF5KT/ref=sr_1_16?keywords=Air+Conditioners&qid=1682513643&sr=8-16
16,"Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2022 Model, CWCVBH-VQ1W183, White)","29,499",4.0 out of 5 stars,80,https://www.amazon.in/Cruise-Inverter-Filtration-CWCVBG-VQ1W183-Dehumidifier/dp/B094752MJ5/ref=sr_1_17?keywords=Air+Conditioners&qid=1682513643&sr=8-17
17,"Godrej 1 Ton 3 Star, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1T EI 12TINV3R32-GWA Split, White)","29,490",3.8 out of 5 stars,325,https://www.amazon.in/Godrej-Convertible-Split-AC-12TINV3R32-GWA/dp/B0BN37ZCF7/ref=sr_1_18?keywords=Air+Conditioners&qid=1682513643&sr=8-18
18,"Godrej 1.5 Ton 4 Star 4 Way Swing, Inverter Split AC (Copper, 5 in 1 Convertible Cooling, Anti-Corrosive blue fins, 2023 Model, AC 1.5T EI 18PINV4R32-WWP, White","33,499",3.7 out of 5 stars,403,https://www.amazon.in/Godrej-Convertible-Anti-Corrosive-1-5T-18PINV4R32-WWP/dp/B0BW8KW958/ref=sr_1_19?keywords=Air+Conditioners&qid=1682513643&sr=8-19
19,"Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elegant, White)","29,800",3.2 out of 5 stars,18,https://www.amazon.in/Voltas-Adjustable-123V-Vectra-Elegant/dp/B0BQR2491B/ref=sr_1_20?keywords=Air+Conditioners&qid=1682513643&sr=8-20
